FlightNo.,Name,Date/time(UTC),Launch site,Payload,Payload Mass,Destination,Customer(s),Launch outcome,Booster recovery,Cleaned Date/time(UTC)
1,"""It's a Test""","25 May 2017, 04:20","Mahia, LC-1A",,,"500km, 85LEO",Rocket Lab(flight test),Failure,No attempt,2017-05-25 04:20:00
2,"""Still Testing""","21 January 2018, 01:43","Mahia, LC-1A",Dove PioneerLemur-2 2Humanity Star,13 kg,"400 km, 82.9LEO",Planet LabsSpire Global,Success,No attempt,2018-01-21 01:43:00
3,"""It's Business Time""","11 November 2018, 03:50","Mahia, LC-1A",Lemur-2 2CICEROIRVINE01NABEOProxima 2,45 kg,"500km, 85LEO",Spire GlobalGeoOpticsIrvine CubeSat STEM ProgramHigh Performance Space Structure SystemsFleet Space Technologies,Success,No attempt,2018-11-11 03:50:00
4,"""This One's ForPickering""","16 December 2018, 06:33","Mahia, LC-1A",ELaNa-19ALBusCeREsCHOMPTTCubeSailDaVinciISXNMTSatRSat-PShields-1STF-1SHFT2TOMSatEagleScoutTOMSat R3,78 kg,"500km, 85LEO",NASA,Success,No attempt,2018-12-16 06:33:00
5,"""Two Thumbs Up""","28 March 2019, 23:27","Mahia, LC-1A",R3D2,150 kg,"425km, 39.5LEO",DARPA,Success,No attempt,2019-03-28 23:27:00
6,"""That's a Funny Looking Cactus""","5 May 2019, 06:00","Mahia, LC-1A",STP-27RDSPARC-1Falcon ODEHarbinger,180 kg,"500km, 40LEO",U.S. Air Force,Success,No attempt,2019-05-05 06:00:00
7,"""Make it Rain""","29 June 2019, 04:30","Mahia, LC-1A",BlackSky Global 3Prometheusx 2ACRUX-1SpaceBEE8 and 9Painani 1,80 kg,"450 km, 45LEO",BlackSky viaSpaceflight Inc.USSOCOMMelbourne Space ProgramSwarm TechnologiesSEDENA,Success,No attempt,2019-06-29 04:30:00
8,"""Look Ma, No Hands""","19 August 2019, 12:12","Mahia, LC-1A",Breizh Recon Orbiter (BRO-1)BlackSky Global 4Experimental Satellites x 2,80 kg,"510 km, 94.8LEO",UnseenLabsBlackSky viaSpaceflight Inc.AFSPC,Success,No attempt,2019-08-19 12:12:00
9,"""As the Crow Flies""","17 October 2019, 01:22","Mahia, LC-1A",Palisade,20 kg,"1200km, 87.9LEO",Astro Digital,Success,No attempt,2019-10-17 01:22:00
10,"""Running Out Of Fingers""","6 December 2019, 08:18","Mahia, LC-1A",ATL-1Fossasat-1NOOR-1A(Unicorn 2B)NOOR-1B(Unicorn 2C)SMOG-PTRSI SatALE-2,77 kg,"385 x 400km, 97LEO","Advanced Technology of LaserFossa SystemsStara SpaceBudapest University of Technology and EconomicsACME AtronOmaticALE Co., LTD",Success,Controlled (atmosphere test),2019-12-06 08:18:00
11,"""Birds of a Feather""","31 January 2020, 02:56","Mahia, LC-1A",NROL-151,,"590km x 610km, 70.9LEO",National Reconnaissance Office,Success,Controlled (atmosphere test),2020-01-31 02:56:00
12,"""Don't Stop Me Now""","13 June 2020,05:12:12","Mahia, LC-1A","Classified payloads x 3 (USA-301, 302, 303) (NRO)ANDESITERAAF M2PF (Pathfinder)",,"570*590 km, 97.75LEO","NRO,Boston University/NASAandUniversity of New South Wales Canberra Spaceand theRoyal Australian Air Force.",Success,No attempt,
13,"""Pics Or It Didn't Happen""","4 July 2020, 21:19:36","Mahia, LC-1A",CE-SAT-IBSuperDove x 5Faraday 1,75 kg,"500 km, 97.5SSO",Canon ElectronicsPlanet LabsIn-Space Missions,Failure,No attempt,2020-07-04 21:19:36
14,"""I Can't Believe It's Not Optical""","31 August 2020, 03:05:47","Mahia, LC-1A",SequoiaPhoton(First Light),100 kg,"500 km, 45LEO",Capella Space,Success,No attempt,2020-08-31 03:05:47
15,"""In Focus""","28 October 2020, 21:21:27","Mahia, LC-1A",SuperDove x 9CE-SAT-IIB,72 kg,"500 km, 97.5SSO","Planet LabsSpaceflight, Inc.forCanon Electronics",Success,No attempt,2020-10-28 21:21:27
